1001,3.64E-06,3.24E-06,Decent_Best_run1,Decent_Average_run1
1001,3.64E-06,3.43E-06,3.74E-06,3.52E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.52E-06
1001,3.64E-06,3.43E-06,3.74E-06,3.51E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.51E-06
1001,3.64E-06,3.44E-06,3.74E-06,3.52E-06
1000,3.64E-06,3.43E-06,3.74E-06,3.52E-06
1001,3.64E-06,3.44E-06,3.74E-06,3.52E-06
1000,3.64E-06,3.44E-06,3.74E-06,3.52E-06
1001,3.64E-06,3.44E-06,3.75E-06,3.52E-06
1000,3.64E-06,3.44E-06,3.75E-06,3.53E-06
1001,3.64E-06,3.44E-06,3.75E-06,3.53E-06
1000,3.64E-06,3.44E-06,3.75E-06,3.52E-06
1001,3.64E-06,3.44E-06,3.75E-06,3.53E-06
1000,3.64E-06,3.44E-06,3.75E-06,3.53E-06
1001,3.64E-06,3.44E-06,3.75E-06,3.52E-06
1000,3.64E-06,3.44E-06,3.75E-06,3.53E-06
1001,3.64E-06,3.44E-06,3.75E-06,3.53E-06
1000,3.64E-06,3.45E-06,3.75E-06,3.53E-06
1001,3.64E-06,3.44E-06,3.75E-06,3.53E-06
1000,3.64E-06,3.44E-06,3.77E-06,3.54E-06
1001,3.64E-06,3.45E-06,3.77E-06,3.53E-06
1000,3.64E-06,3.44E-06,3.77E-06,3.54E-06
1001,3.64E-06,3.44E-06,3.77E-06,3.54E-06
1000,3.64E-06,3.44E-06,3.77E-06,3.54E-06
1001,3.64E-06,3.44E-06,3.77E-06,3.55E-06
1000,3.64E-06,3.45E-06,3.77E-06,3.55E-06
1001,3.64E-06,3.44E-06,3.77E-06,3.54E-06
1000,3.64E-06,3.45E-06,3.77E-06,3.55E-06
1001,3.64E-06,3.45E-06,3.77E-06,3.55E-06
1000,3.64E-06,3.44E-06,3.79E-06,3.55E-06
1001,3.64E-06,3.45E-06,3.79E-06,3.56E-06
1000,3.64E-06,3.44E-06,3.79E-06,3.55E-06
1001,3.64E-06,3.45E-06,3.79E-06,3.55E-06
1000,3.64E-06,3.44E-06,3.79E-06,3.55E-06
1001,3.64E-06,3.45E-06,3.79E-06,3.56E-06
1000,3.64E-06,3.45E-06,3.79E-06,3.55E-06
1001,3.64E-06,3.45E-06,3.79E-06,3.55E-06
1000,3.64E-06,3.45E-06,3.79E-06,3.55E-06
1001,3.64E-06,3.45E-06,3.79E-06,3.56E-06
1000,3.64E-06,3.45E-06,3.81E-06,3.56E-06
1001,3.64E-06,3.45E-06,3.81E-06,3.56E-06
1000,3.64E-06,3.45E-06,3.81E-06,3.56E-06
1001,3.64E-06,3.46E-06,3.81E-06,3.56E-06
1000,3.64E-06,3.45E-06,3.81E-06,3.56E-06
1001,3.64E-06,3.45E-06,3.81E-06,3.56E-06
1000,3.64E-06,3.45E-06,3.81E-06,3.57E-06
1001,3.64E-06,3.46E-06,3.81E-06,3.56E-06
1000,3.64E-06,3.45E-06,3.81E-06,3.56E-06
1001,3.64E-06,3.46E-06,3.81E-06,3.57E-06
1000,3.64E-06,3.45E-06,3.81E-06,3.56E-06
1001,3.64E-06,3.46E-06,3.81E-06,3.57E-06
1000,3.64E-06,3.46E-06,3.81E-06,3.56E-06
1001,3.64E-06,3.46E-06,3.81E-06,3.57E-06
1000,3.64E-06,3.46E-06,3.81E-06,3.57E-06
1001,3.67E-06,3.45E-06,3.81E-06,3.56E-06
1000,3.67E-06,3.46E-06,3.81E-06,3.57E-06
1001,3.67E-06,3.46E-06,3.81E-06,3.57E-06
1000,3.67E-06,3.46E-06,3.81E-06,3.57E-06
1001,3.67E-06,3.46E-06,3.81E-06,3.58E-06
1000,3.67E-06,3.46E-06,3.81E-06,3.57E-06
1001,3.67E-06,3.46E-06,3.81E-06,3.57E-06
1000,3.67E-06,3.46E-06,3.81E-06,3.58E-06
1001,3.67E-06,3.46E-06,3.81E-06,3.57E-06
1000,3.67E-06,3.47E-06,3.81E-06,3.57E-06
1001,3.67E-06,3.47E-06,3.81E-06,3.58E-06
1000,3.67E-06,3.47E-06,3.81E-06,3.58E-06
1001,3.67E-06,3.47E-06,3.81E-06,3.58E-06
1000,3.67E-06,3.47E-06,3.81E-06,3.58E-06
1001,3.67E-06,3.47E-06,3.81E-06,3.58E-06
1000,3.67E-06,3.46E-06,3.81E-06,3.58E-06
1001,3.67E-06,3.48E-06,3.81E-06,3.58E-06
1000,3.67E-06,3.47E-06,3.81E-06,3.58E-06
1001,3.67E-06,3.47E-06,3.81E-06,3.58E-06
1000,3.67E-06,3.48E-06,3.81E-06,3.58E-06
1001,3.67E-06,3.46E-06,3.83E-06,3.58E-06
1000,3.67E-06,3.47E-06,3.83E-06,3.58E-06
